Position (um),2H Intensity (a.u.),3H Intensity (a.u.),Wavenumber (cm^-1),2H Amplitude (a.u.),2H Phase (deg),3H Amplitude (a.u.),3H Phase (deg)
37.6,0.0001011563,1.552509191E-05,143.4326172,4.917354721E-05,-28.56630705,6.761813989E-05,-153.586252
37.8,0.0001008351,1.492190877E-05,144.1955566,8.179308996E-05,-4.720929495,7.360270367E-05,-145.3089942
38,0.0001007414,1.417675282E-05,144.9584961,0.0001017324,16.37076001,7.623237932E-05,-133.5174165
38.2,0.0001008404,1.388519311E-05,145.7214355,0.0001087503,35.49792568,7.480587369E-05,-119.4578012
38.4,0.0001012517,1.384870294E-05,146.484375,0.0001051149,52.24210194,6.972793558E-05,-103.1621775
38.6,0.0001013977,1.416940674E-05,147.2473145,9.512046211E-05,65.86169992,6.164343787E-05,-83.38331297
38.8,0.0001012764,1.447588198E-05,148.0102539,8.406706943E-05,75.95313885,5.156684542E-05,-57.15795176
39,0.0001010371,1.473911073E-05,148.7731934,7.633876387E-05,83.8072492,4.275872467E-05,-19.12859916
39.2,0.000100856,1.524351756E-05,149.5361328,7.307031104E-05,92.97084999,4.321354403E-05,31.38928132
39.4,0.0001009508,1.577652977E-05,150.2990723,7.225218502E-05,106.9044378,5.776156659E-05,77.32963056
39.6,0.0001009195,1.574555083E-05,151.0620117,0.000071911,127.0757731,8.039442021E-05,111.704338
39.8,0.0001009463,1.544311016E-05,151.8249512,7.255708444E-05,153.3930093,0.0001043413,139.4353935
40,0.0001009312,1.533344518E-05,152.5878906,7.695875911E-05,-175.9758071,0.0001253172,163.846807
40.2,0.0001010956,1.539331901E-05,153.3508301,8.752285882E-05,-144.8517928,0.0001408122,-173.6401306
40.4,0.0001014597,1.542763144E-05,154.1137695,0.0001037346,-116.5886952,0.0001497538,-152.3735321
40.6,0.0001018145,1.52485263E-05,154.876709,0.0001226458,-92.13869303,0.0001521699,-131.9233541
40.8,0.0001022719,0.000015003,155.6396484,0.0001407947,-71.09082059,0.0001486238,-111.8415453
41,0.0001026602,1.459332743E-05,156.4025879,0.000155421,-52.93864436,0.0001395991,-91.58602539
41.2,0.0001024268,1.408362235E-05,157.1655273,0.0001651166,-37.47420602,0.0001251834,-70.54771642
41.4,0.0001016802,1.425037024E-05,157.9284668,0.00017027,-24.72275956,0.0001052677,-48.08328859
41.6,0.0001009314,1.5170247E-05,158.6914063,0.0001731296,-14.65574586,8.012885773E-05,-23.36045749
41.8,0.0001005028,1.594263852E-05,159.4543457,0.0001769893,-6.771942825,0.000051072,5.652703463
42,0.0001006719,1.643326216E-05,160.2172852,0.0001843106,0.0953111674,2.163438025E-05,51.23076903
42.2,0.0001013061,1.654327098E-05,160.9802246,0.0001949154,7.287151305,1.749680938E-05,-178.7913241
42.4,0.0001020747,1.589318843E-05,161.7431641,0.0002060154,15.54446245,4.119850298E-05,-123.9004595
42.6,0.0001026756,0.000014983,162.5061035,0.0002139641,24.80376564,6.062368548E-05,-88.15731021
42.8,0.0001026524,1.464210131E-05,163.269043,0.0002160548,34.51141923,7.231919268E-05,-54.13119941
43,0.0001024442,1.476723162E-05,164.0319824,0.0002114286,43.95132925,7.605341754E-05,-19.23527165
43.2,0.000102117,1.478335227E-05,164.7949219,0.000201142,52.4245255,7.31152416E-05,17.46447071
43.4,0.0001018137,1.474168857E-05,165.5578613,0.000187687,59.36668656,6.559316312E-05,56.43795639
43.6,0.0001017021,1.529928197E-05,166.3208008,0.0001741881,64.5079751,5.547711914E-05,97.88708976
43.8,0.0001017739,1.591607602E-05,167.0837402,0.0001634112,68.09027683,4.396932219E-05,142.1890717
44,0.0001019809,1.601827262E-05,167.8466797,0.0001567414,70.9647767,3.175946586E-05,-168.2542764
